date_key,datetime,year,month,day,hour,time_of_day,quarter,week,day_of_week,season,is_weekend_or_holiday
323,2021-01-14 10:00:00,2021,1,14,10,Morning,1,2,3,Winter,False
324,2021-01-14 11:00:00,2021,1,14,11,Morning,1,2,3,Winter,False
325,2021-01-14 12:00:00,2021,1,14,12,Afternoon,1,2,3,Winter,False
326,2021-01-14 13:00:00,2021,1,14,13,Afternoon,1,2,3,Winter,False
327,2021-01-14 14:00:00,2021,1,14,14,Afternoon,1,2,3,Winter,False
328,2021-01-14 15:00:00,2021,1,14,15,Afternoon,1,2,3,Winter,False
329,2021-01-14 16:00:00,2021,1,14,16,Afternoon,1,2,3,Winter,False
330,2021-01-14 17:00:00,2021,1,14,17,Afternoon,1,2,3,Winter,False
331,2021-01-14 18:00:00,2021,1,14,18,Evening,1,2,3,Winter,False
332,2021-01-14 19:00:00,2021,1,14,19,Evening,1,2,3,Winter,False
333,2021-01-14 20:00:00,2021,1,14,20,Evening,1,2,3,Winter,False
334,2021-01-14 21:00:00,2021,1,14,21,Night,1,2,3,Winter,False
335,2021-01-14 22:00:00,2021,1,14,22,Night,1,2,3,Winter,False
336,2021-01-14 23:00:00,2021,1,14,23,Night,1,2,3,Winter,False
337,2021-01-15 00:00:00,2021,1,15,0,Night,1,2,4,Winter,False
338,2021-01-15 01:00:00,2021,1,15,1,Night,1,2,4,Winter,False
339,2021-01-15 02:00:00,2021,1,15,2,Night,1,2,4,Winter,False
340,2021-01-15 03:00:00,2021,1,15,3,Night,1,2,4,Winter,False
341,2021-01-15 04:00:00,2021,1,15,4,Night,1,2,4,Winter,False
